店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,502,50201,4580510970025,キサラ　鹿ソーセージ,キサラ　鹿ソーセージ,ｷｻﾗ ｼｶｿｰｾｰｼﾞ,,0,1,0,,735,,
1,502,50201,4580510970049,キサラ　ジビエハンバーグ,キサラ　ジビエハンバーグ,ｷｻﾗ ｼﾞﾋﾞｴﾊﾝﾊﾞｰｸﾞ,,0,1,0,,648,,
1,502,50201,4580510970063,キサラ　鹿のパテ,キサラ　鹿のパテ,ｷｻﾗ ｼｶﾊﾟﾃ,,0,1,0,,845,,
