店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,1201,120101,4571223995238,かぼちゃのプリン　３個,かぼちゃのプリン　３個,ｶﾎﾞﾁｬﾉﾌﾟﾘﾝ 3ｺ,３個,0,1,0,,1200,プティ・メルヴィーユ,
1,1201,120102,4571240800904,ジョブなしろ　マンゴーゼリー,ジョブなしろ　マンゴーゼリー,,,0,1,0,,367,,
1,1201,120102,4571240801000,ジョブなしろグアバゼリー,ジョブなしろグアバゼリー,,,0,1,0,,367,,
1,1202,120203,4571364660187,りんご　チーズケーキ,りんご　チーズケーキ,,,0,1,0,,324,,
1,1202,120203,4571364660262,いちご　チーズケーキ,いちご　チーズケーキ,,,0,1,0,,324,,
1,1202,120203,4571364660279,ブルーベリー　チーズケーキ,ブルーベリー　チーズケーキ,,,0,1,0,,324,,
1,1202,120203,4571364660286,ピオーネチーズケーキ,ピオーネチーズケーキ,,,0,1,0,,324,,
1,1202,120203,4571364660293,梨　チーズケーキ,梨　チーズケーキ,,,0,1,0,,324,,
1,1202,120203,4571364660309,広島レモン　チーズケーキ,広島レモン　チーズケーキ,,,0,1,0,,324,,
1,1201,120101,4571443900159,あおもりプリン(プレーン),あおもりプリン(プレーン),,,0,1,0,,311,,
1,1201,120101,4571443900166,あおもりプリン(アップル),あおもりプリン(アップル),,,0,1,0,,321,,
1,1202,120202,4571612591829,鳥羽　チーズケーキ10個セット,鳥羽　チーズケーキ10個セット,,,0,1,0,,5400,,
1,1202,120202,4573353310523,HITOYASUMII珈琲ロール,HITOYASUMI珈琲ロール,19ﾋﾄﾔｽﾐ ｼﾞｶﾊﾞｲｾﾝ ｺ-ﾋ-ﾛ-ﾙ,,0,1,0,,473,１９ＨＩＴＯＹＡＳＵＭＩ,
1,1202,120202,4573353311599,HITOYASUMIダーク珈琲ロール,HITOYASUMIダーク珈琲ロール,,,0,1,0,,526,,
1,1202,120202,4573556060027,至福のカヌレ,至福のカヌレ,,,0,1,0,,498,,
1,1201,120105,4573556060089,至福のカヌレ　ディープショコラ,至福のカヌレ　ディープショコ,,,0,1,0,,498,,
1,1201,120106,4573556060096,カヌレ　サワーマスカルポーネ,カヌレ　サワーマスカルポーネ,,,0,1,0,,380,,
1,1202,120202,4573556060157,至福のカヌレ　オレンジキャラメル,至福のカヌレ　オレンジキャラ,,,0,1,0,,380,,
1,1201,120106,4573556060188,至福のカヌレアーモンドカフェ,至福のカヌレアーモンドカフェ,,,0,1,0,,380,,
1,1202,120202,4573556060232,至福のカヌレ塩キャラメル,至福のカヌレ塩キャラメル,,,0,1,0,,380,,
1,1202,120202,4573556060300,至福のカヌレ　エスプレッソダブル,至福のカヌレ　エスプレッソダ,,,0,1,0,,380,,
1,1202,120202,4573556060560,至福のカヌレヘーゼルナッツ,至福のカヌレヘーゼルナッツ,,,0,1,0,,398,,
1,1201,120103,4580053500062,日本酒チーズケーキ,日本酒チーズケーキ,,,0,1,0,,595,,
1,1201,120103,4580053500079,水尾ゆずチーズケーキ,水尾ゆずチーズケーキ,,,0,1,0,,650,,
1,1201,120103,4580053500086,プレミアム苺チーズケーキ,プレミアム苺チーズケーキ,,,0,1,0,,650,,
1,1201,120103,4580053500093,ソラアオ　チーズケーキ,ソラアオ　チーズケーキ,,,0,1,0,,570,,
1,1202,120202,4580053500116,ソラアオ　ガトーショコラ,ソラアオ　ガトーショコラ,,,0,1,0,,570,,
1,1201,120103,4580053500130,ＤariＫチョコチーズケーキ,ＤariＫチョコチーズケーキ,,,0,1,0,,595,,
1,1201,120102,4580137890058,早和　みかんジュレ,早和　みかんジュレ,,１８０ｍｌ,0,1,280,,351,早和果樹園,
1,1201,120102,4580137890065,早和　みかんジュレ1個,早和　みかんジュレ1個,,,0,1,0,,391,,
1,1201,120102,4580137894506,もっちり有田みかんゼリー　,もっちり有田みかんゼリー　,ｿｳﾜ ﾓﾂﾁﾘｱﾘﾀﾐｶﾝｾﾞﾘ- 115GX4,１１５ｇ×４,0,1,0,,891,早和果樹園,
1,1201,120102,4580168070221,桃の煌ゼリー,桃の煌ゼリー,ﾓﾓﾉｷﾗﾒｷﾌﾙｰﾂﾏﾙｺﾞﾄｾﾞﾘｰ 250G,,0,1,0,,478,小南農園,
1,1201,120102,4580168070245,さくらんぼの煌ゼリー,さくらんぼの煌ゼリー,,,0,1,0,,478,,
